Magnetic Field (Oe)	Moment (emu)
905.6209106	0.000257705
915.6737061	0.000257156
926.6512451	0.000257601
936.1886597	0.000257165
945.7130737	0.000257362
956.2046814	0.000257913
965.6780396	0.000258153
975.6911011	0.0002581
985.2259216	0.000257845
995.1479492	0.000257588
1006.085663	0.000257852
1015.593658	0.000258071
1025.62326	0.000257839
1036.12262	0.000258208
1045.097961	0.000257522
1056.089355	0.00025842
1065.604309	0.000258074
1075.139099	0.000258685
1086.134949	0.000258651
1095.609192	0.000258445
1105.538086	0.000258147
1116.07666	0.000258464
1125.591492	0.000258743
1135.622803	0.000258914
1145.61792	0.00025912
1156.10376	0.000258554
1165.603882	0.00025913
1175.088501	0.000258792
1186.098206	0.000258481
1196.068604	0.000259238
1205.49176	0.000259063
1215.458008	0.000258957
1224.997192	0.000259121
1235.542542	0.000259468
1245.54834	0.000258919
1255.550964	0.000259026
1265.027832	0.000258993
1275.528198	0.00025908
1285.547913	0.00025945
1295.020447	0.000258916
1305.516541	0.000259844
1315.559631	0.000259571
1325.472168	0.000259604
1335.563721	0.000259482
1345.535095	0.000259453
1355.049133	0.000259526
1365.570313	0.000259501
1375.083496	0.00025972
1385.037598	0.000259271
1395.505066	0.000259569
1405.553894	0.000259377
1415.085205	0.000260144
1424.966064	0.000260202
1435.409363	0.000259782
1444.95282	0.000260281
1454.961731	0.000259771
1464.959656	0.000260089
1474.969482	0.000260202
1484.930786	0.000260358
1494.940247	0.000259414
1504.997925	0.000260236
1514.95105	0.000259987
1524.912903	0.000259715
1535.47052	0.000260112
1544.936951	0.000260029
1554.858032	0.00026019
1564.874329	0.000260031
1575.41803	0.000260471
1584.93988	0.000260073
1594.971863	0.000259814
1604.944031	0.000260396
1614.917908	0.000260305
1624.937683	0.000259709
1635.409546	0.000260025
1645.468323	0.000260161
1654.897705	0.000260198
1665.336426	0.000260222
1674.810608	0.000260192
1684.828613	0.000260305
1694.825012	0.000260466
1704.837952	0.00026025
1714.91748	0.000260284
1724.935486	0.000260102
1735.384766	0.00026052
1744.888	0.000260398
1754.796204	0.000260192
1764.599243	0.000260218
1774.536316	0.000260744
1784.498901	0.000259868
1794.498718	0.000260366
1804.037903	0.000260602
1814.543579	0.000260693
1824.505432	0.000260484
1835.023071	0.000260878
1845.003967	0.000260658
1854.988892	0.00026005
1864.519348	0.000260616
1874.483276	0.000260732
1883.960632	0.000260219
1894.489868	0.000260994
1903.963318	0.000260697
1914.027954	0.000260134
1925.054077	0.000260021
1935.02887	0.000260295
1944.015137	0.000260711
1954.477783	0.0002604
1964.000305	0.000260047
1973.968384	0.000260365
1984.512207	0.000260745
1994.031494	0.000260531
2004.439209	0.000260328
2013.939331	0.000260271
2024.423279	0.000260258
2034.478455	0.000260856
2043.868896	0.000260538
2053.953613	0.000260499
2063.942871	0.00026036
2073.939575	0.000260658
2084.526489	0.000260595
2094.489136	0.000260461
2103.934814	0.000261021
2113.877686	0.000260399
2124.464844	0.000260786
2133.984131	0.000260694
2144.48877	0.000260719
2153.948853	0.000260439
2163.969482	0.000260498
2173.973633	0.00026017
2183.946777	0.000260632
2193.440918	0.000260477
2204.412354	0.000260236
2214.462402	0.000260478
2223.940186	0.000260714
2233.897705	0.000260716
2243.947632	0.000260417
2254.447388	0.000260741
2263.929321	0.000260232
2273.928223	0.00026061
2283.960205	0.000260439
2293.982544	0.000260451
2303.512939	0.000260289
2314.04834	0.000260963
2323.905518	0.000260541
2333.850708	0.000260941
2343.896362	0.000260766
2353.420654	0.000260433
2363.891846	0.000260547
2373.364258	0.000260354
2384.927246	0.000260344
2393.887085	0.000260476
2403.853638	0.000260309
2413.915161	0.000260033
2423.362671	0.000260354
2433.821655	0.000261205
2443.876831	0.000260558
2453.370239	0.000260532
2463.859253	0.000260278
2473.873047	0.000259905
2483.340332	0.000260338
2494.032837	0.000260895
2499.731934	0.000260799
1999.831543	0.000260276
1999.807373	0.000260795
1999.831604	0.000260101
1999.855835	0.000260317
1999.831604	0.000259738
1999.819458	0.000260802
