Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3984759687.213,284.357818603516,0.187600329518318,2.46391748403217E-7,2.25924713228134E-7,1,2.99776006220938,40.0298881530762,1.99817565266967,21.5799994766712,3.87192933721358E-6,-7.57740264348997E-6,0.25,-7.93302431433676E-7,2.47054755854017E-7,-7.93454042084193E-7,284.200622558594,284.200622558594,0.16944545507431,0.205755203962326,53.2382817018518,20.5361036541309,1.87114274501801,0,0,0,120,299.738586425781,6,4,3,2.23846435546875,48.3870964050293,,,,,,,,,,,,,,,,
,3984759690.1355,284.648742675781,0.187600329518318,4.25541255740162E-7,2.39391910234024E-7,1,2.99776006220938,40.0298881530762,1.99826874851441,21.5799994766712,5.10768972801402E-6,-3.95313593949728E-6,0.25,-4.65216586495563E-7,4.26041687060079E-7,-4.65103037213316E-7,284.515014648438,284.515014648438,0.16944545507431,0.205755203962326,52.8646632696594,20.5380456398737,1.87094485759735,0,0,0,120,300.091094970703,6,4,3,2.24075317382813,47.8983383178711,,,,,,,,,,,,,,,,
,3984759693.039,284.99186706543,0.157342210412025,8.01056870598226E-7,2.11606725766566E-7,1,2.99776006220938,40.0298881530762,1.99828827659188,21.5799994766712,9.26843955229695E-6,-5.43813406999413E-6,0.25,-6.77272286310567E-7,8.01850089949805E-7,-6.76972847908012E-7,284.855529785156,284.855529785156,0.145238965749741,0.16944545507431,53.1444862795441,20.5372701207711,1.87028026580811,0,0,0,120,300.356231689453,6,4,3,2.2381591796875,48.3870964050293,,,,,,,,,,,,,,,,
,3984759695.977,285.299926757813,0.187600329518318,7.24700165420491E-7,1.99105532659587E-7,1,2.99776006220938,40.0298881530762,1.9982278419967,21.5799994766712,8.31776992424417E-6,-4.53285461935709E-6,0.25,-5.74400484481031E-7,7.25383890402814E-7,-5.74110195905069E-7,285.128204345703,285.128204345703,0.16944545507431,0.205755203962326,53.0022298890441,20.5372531504303,1.87012243270874,0,0,0,120,300.710052490234,6,4,3,2.24227905273438,48.3870964050293,,,,,,,,,,,,,,,,
,3984759699.027,285.613357543945,0.199703574180603,8.22226320652922E-7,2.43166014062979E-7,1,2.99776006220938,40.0298881530762,1.99816181529098,21.5799994766712,9.10834197504473E-6,-3.24374552754588E-6,0.25,-4.63567438265489E-7,8.22861666660199E-7,-4.63162421011339E-7,285.471649169922,285.471649169922,0.19365194439888,0.205755203962326,53.035839915371,20.5369932813142,1.86948430538178,0,0,0,120,300.977142333984,6,4,3,2.23892211914062,48.3870964050293,,,,,,,,,,,,,,,,
,3984759701.988,285.920471191406,0.187600322067738,5.32463944940319E-7,2.30160681381051E-7,1,2.99776006220938,40.0298881530762,1.99818171809531,21.5799994766712,6.89888040534062E-6,-7.88537675520417E-6,0.25,-8.73317401687656E-7,5.3327365302934E-7,-8.73263297639419E-7,285.755065917969,285.755065917969,0.181548699736595,0.19365194439888,52.8154206729479,20.5376299829747,1.86919486522675,0,0,0,120,301.328704833984,6,4,3,2.237548828125,47.4095802307129,,,,,,,,,,,,,,,,
,3984759705.1275,286.231170654297,0.14523896202445,6.10547869398408E-7,2.00580495106945E-7,1,2.99776006220938,40.0298881530762,1.99816745948497,21.5799994766712,7.32886471986833E-6,-5.67871061553036E-6,0.25,-6.68207153156125E-7,6.11235979623499E-7,-6.68017560359253E-7,286.085876464844,286.085876464844,0.12103246897459,0.16944545507431,53.1687167636402,20.5363632198619,1.86799991130829,0,0,0,120,301.659332275391,6,4,3,2.24029541015625,48.8758583068848,,,,,,,,,,,,,,,,
,3984759708.0725,286.596450805664,0.157342210412025,6.01853307552811E-7,2.05196357997242E-7,1,2.99776006220938,40.0298881530762,1.99819418626659,21.5799994766712,7.10914505540033E-6,-4.93078760675003E-6,0.25,-5.92601049828954E-7,6.02478346628934E-7,-5.92385024289961E-7,286.459350585938,286.459350585938,0.157342210412025,0.157342210412025,53.0037931460825,20.5351544781142,1.86648178100586,0,0,0,120,301.945434570313,6,4,3,2.22412109375,47.8983383178711,,,,,,,,,,,,,,,,
,3984759710.965,286.876602172852,0.16944545507431,4.69191296226919E-7,2.20284657622454E-7,1,2.99776006220938,40.0298881530762,1.99822291105478,21.5799994766712,6.01148088092529E-6,-6.55777015603678E-6,0.25,-7.30847365050839E-7,4.69862848736577E-7,-7.30767093540766E-7,286.733551025391,286.733551025391,0.157342210412025,0.181548699736595,53.1038415965441,20.5348587324771,1.86448848247528,0,0,0,120,302.293334960937,6,4,3,2.2357177734375,48.3870964050293,,,,,,,,,,,,,,,,
,3984759714.086,287.236022949219,0.19365194439888,5.38142418005561E-7,2.29259386873232E-7,1,2.99776006220938,40.0298881530762,1.99826083008658,21.5799994766712,6.28488743886894E-6,-3.99384874278944E-6,0.25,-4.88749315254781E-7,5.38661818036636E-7,-4.8853404239995E-7,287.081176757813,287.081176757813,0.16944545507431,0.21785843372345,53.0788294839287,20.5374590886655,1.86352825164795,0,0,0,120,302.557006835937,6,4,3,2.23846435546875,47.4095802307129,,,,,,,,,,,,,,,,
,3984759716.9505,287.523040771484,0.187600329518318,2.78160915468327E-7,2.15802987099875E-7,1,2.99776006220938,40.0298881530762,1.99822416834714,21.5799994766712,3.75155681441645E-6,-4.97314870024671E-6,0.25,-5.40823677103366E-7,2.78628293385293E-7,-5.40803307360892E-7,287.390869140625,287.390869140625,0.16944545507431,0.205755203962326,53.2437531014864,20.5364165865917,1.86301553249359,0,0,0,120,302.903198242188,6,4,3,2.24014282226562,47.8983383178711,,,,,,,,,,,,,,,,
,3984759719.9695,287.860443115234,0.199703574180603,5.85896246680949E-7,2.34276385255601E-7,1,2.99776006220938,40.0298881530762,1.9983211365954,21.5799994766712,7.25907812540686E-6,-6.75622431676944E-6,0.25,-7.70677105673413E-7,5.86616895930706E-7,-7.70508897736678E-7,287.713928222656,287.713928222656,0.19365194439888,0.205755203962326,52.5520118619671,20.5377000750613,1.86265230178833,0,0,0,120,303.227569580078,6,4,3,2.23770141601562,47.4095802307129,,,,,,,,,,,,,,,,
,3984759723.0415,288.139266967773,0.163393832743168,4.42614927515248E-7,2.30915634124702E-7,1,2.99776006220938,40.0298881530762,1.99815828894657,21.5799994766712,5.17811764528049E-6,-3.33828537027219E-6,0.25,-4.07303325823054E-7,4.43033490000463E-7,-4.0711880419546E-7,288.006958007813,288.006958007813,0.157342210412025,0.16944545507431,53.1734065347556,20.535534574157,1.86243796348572,0,0,0,120,303.509918212891,6,4,3,2.236328125,47.4095802307129,,,,,,,,,,,,,,,,
,3984759725.927,288.481307983398,0.16944545507431,3.53974761390178E-7,2.26742494579583E-7,1,2.99776006220938,40.0298881530762,1.99824663953917,21.5799994766712,5.08402398140591E-6,-8.1214582752386E-6,0.25,-8.65868220635519E-7,3.5468166269858E-7,-8.65877022802554E-7,288.352630615234,288.352630615234,0.16944545507431,0.16944545507431,53.1788779343902,20.5352134348601,1.86247456073761,0,0,0,120,303.832092285156,6,4,3,2.23876953125,48.8758583068848,,,,,,,,,,,,,,,,
