Temperature (K)	Magnetic Field (Oe)	Moment (emu)	M. Std. Err. (emu)
9.999979019	-1373.116638	-0.000214391	4.60E-07
10.00012779	-1382.541565	-0.000213786	3.68E-07
10.00018263	-1392.60376	-0.000213984	3.90E-07
10.00012541	-1402.632629	-0.000214106	4.12E-07
10.00009346	-1412.509705	-0.000213951	3.86E-07
10.00004339	-1422.550415	-0.00021407	4.73E-07
9.999912739	-1432.583984	-0.00021425	3.63E-07
9.999846458	-1442.54425	-0.000213752	4.89E-07
9.999799728	-1452.510437	-0.000214501	3.97E-07
9.999743462	-1463.037659	-0.000214491	3.90E-07
9.999786854	-1473.033203	-0.000214271	3.94E-07
9.999923229	-1482.602722	-0.000214325	4.63E-07
10.00001192	-1492.558472	-0.000214583	4.21E-07
10.0000906	-1503.129822	-0.000214292	4.08E-07
10.00038004	-1513.100342	-0.000214203	4.53E-07
10.00046921	-1522.945984	-0.000214059	4.17E-07
10.00028515	-1532.470337	-0.000214277	5.89E-07
10.00031662	-1543.653992	-0.000214373	3.59E-07
10.00039005	-1553.016663	-0.000214745	4.52E-07
10.00036144	-1562.454529	-0.000214066	4.68E-07
10.00031614	-1572.448425	-0.000214418	4.17E-07
10.00019932	-1582.466614	-0.00021462	4.38E-07
10.00016165	-1592.443115	-0.000214545	3.71E-07
10.00026417	-1602.337402	-0.000214504	4.65E-07
10.00036383	-1612.353638	-0.000214409	3.65E-07
10.00025129	-1622.44751	-0.000214634	5.06E-07
9.999969482	-1632.453552	-0.000214292	4.58E-07
9.999792099	-1642.420837	-0.000214697	4.11E-07
9.999835491	-1653.466736	-0.00021473	4.79E-07
9.999821186	-1662.49585	-0.000214792	4.23E-07
9.999905586	-1672.432556	-0.000214378	4.11E-07
10.00002575	-1682.370178	-0.000214678	4.20E-07
9.999837399	-1692.335754	-0.000215061	3.83E-07
9.999720097	-1702.399597	-0.00021475	4.86E-07
9.999764919	-1712.536682	-0.000214765	5.19E-07
9.999836922	-1722.522827	-0.000214669	4.41E-07
9.99998045	-1732.420654	-0.000214733	4.04E-07
10.00004768	-1742.48877	-0.000214556	5.79E-07
10.00000668	-1752.509155	-0.000215185	3.60E-07
9.999986172	-1762.461426	-0.00021497	4.20E-07
10.0001936	-1772.385254	-0.000214894	4.24E-07
10.00050211	-1782.235657	-0.000214977	7.59E-07
10.00057602	-1792.170471	-0.000215196	4.62E-07
10.00063658	-1802.060425	-0.000215271	4.83E-07
10.00094128	-1812.069397	-0.000215054	4.60E-07
10.0008502	-1822.165283	-0.000214709	5.30E-07
10.000525	-1832.071655	-0.000214608	4.81E-07
10.00039339	-1842.001465	-0.000215139	4.28E-07
10.00026894	-1852.164856	-0.000214799	4.65E-07
10.00020123	-1862.0401	-0.00021467	4.35E-07
10.00015688	-1872.181152	-0.000214906	4.40E-07
10.00004005	-1882.14978	-0.000214779	4.58E-07
9.999982834	-1892.089844	-0.000214977	4.57E-07
9.999940395	-1902.100159	-0.00021487	4.47E-07
9.99997139	-1912.160706	-0.000215011	4.68E-07
10.00014114	-1922.19696	-0.000214933	4.90E-07
10.00020409	-1932.115356	-0.000214883	4.33E-07
10.00016832	-1942.113525	-0.000215342	4.99E-07
10.00024843	-1952.12561	-0.000215057	4.34E-07
10.00013876	-1961.580811	-0.000214872	4.49E-07
10.00014448	-1971.706543	-0.000215023	4.07E-07
10.00023365	-1982.035156	-0.000215163	4.43E-07
10.00019407	-1991.600952	-0.000215237	3.95E-07
10.00009298	-2002.03064	-0.000214906	5.37E-07
9.999859333	-2011.575928	-0.000215132	4.33E-07
9.999513626	-2022.127502	-0.00021484	4.62E-07
9.99951458	-2031.632813	-0.000215092	5.02E-07
9.999629974	-2042.194519	-0.000214878	4.36E-07
9.999666691	-2052.178772	-0.000214865	5.02E-07
9.999679089	-2062.674927	-0.000215174	4.47E-07
9.999698639	-2072.08606	-0.000214835	5.36E-07
9.999913216	-2082.067871	-0.000214986	4.34E-07
10.00002146	-2092.080566	-0.000214835	4.59E-07
10.00001955	-2101.611816	-0.000215662	4.53E-07
10.0000782	-2111.600586	-0.000215148	4.93E-07
10.00003862	-2122.087158	-0.000215065	4.63E-07
9.999937534	-2131.545654	-0.000215028	4.30E-07
9.999974728	-2142.09375	-0.000215358	5.16E-07
10.0001483	-2152.026978	-0.000214975	3.99E-07
10.000278	-2162.080688	-0.000215802	3.89E-07
10.00009489	-2171.399048	-0.000214898	4.92E-07
9.999919415	-2181.537109	-0.000214983	4.77E-07
9.999817848	-2191.46814	-0.000215295	4.79E-07
9.999692917	-2202.193604	-0.000215281	4.40E-07
9.999619007	-2211.504028	-0.000215016	4.16E-07
9.999730587	-2221.623535	-0.00021555	4.37E-07
9.999779701	-2231.53064	-0.000215203	5.00E-07
9.999646187	-2242.091797	-0.000214648	4.38E-07
9.999598026	-2251.967163	-0.000215127	4.70E-07
9.999512196	-2260.92334	-0.000215217	3.88E-07
9.999479294	-2272.016968	-0.000215185	4.85E-07
9.999569893	-2281.542236	-0.000215076	5.06E-07
9.999948025	-2291.87207	-0.000215039	4.60E-07
10.00017262	-2301.904053	-0.000214994	3.99E-07
10.00006819	-2312.069214	-0.000215478	4.69E-07
9.999977589	-2321.565918	-0.000215757	5.26E-07
9.999832153	-2331.413452	-0.000215172	4.55E-07
9.999745846	-2341.392578	-0.000214994	4.09E-07
9.99987936	-2351.441772	-0.000215275	5.52E-07
10.00007153	-2361.453735	-0.000215571	4.83E-07
10.00012636	-2371.48291	-0.000215136	5.01E-07
10.00007057	-2381.760742	-0.00021549	5.08E-07
9.999915123	-2391.600586	-0.000215357	4.91E-07
9.999800205	-2401.511353	-0.000214902	5.14E-07
9.999776363	-2412.084473	-0.000215162	5.08E-07
9.999699116	-2421.564209	-0.000215032	4.79E-07
9.99956274	-2432.085083	-0.0002148	4.67E-07
9.999557495	-2441.456421	-0.000215625	5.75E-07
9.999504566	-2451.475952	-0.00021538	4.26E-07
9.999525547	-2461.004761	-0.000215174	5.10E-07
9.999667645	-2471.048828	-0.000214926	4.87E-07
9.999982834	-2481.060791	-0.000215391	4.60E-07
10.00041199	-2490.994141	-0.000215257	4.81E-07
10.00068521	-2497.727051	-0.000216179	1.34E-06
10.00050402	-2496.935425	-0.000216258	1.38E-06
10.0005064	-2489.709351	-0.000215291	5.82E-07
10.00025606	-2479.64209	-0.000215195	5.56E-07
10.00011778	-2470.085693	-0.000215181	5.13E-07
10.00025749	-2459.653809	-0.000215509	5.47E-07
10.00043535	-2449.734253	-0.000214885	4.98E-07
10.00053596	-2439.838867	-0.000215204	5.49E-07
10.00030804	-2429.719238	-0.000215112	5.38E-07
9.999966145	-2420.215576	-0.000215391	5.26E-07
9.999849796	-2410.312134	-0.000215101	4.48E-07
9.999769688	-2400.31311	-0.00021556	5.61E-07
9.999694824	-2390.31543	-0.000215453	5.25E-07
9.999569416	-2380.370117	-0.000215276	5.28E-07
9.999471664	-2370.293579	-0.000215095	5.22E-07
9.999403477	-2360.294556	-0.000215417	4.16E-07
9.999265671	-2349.847778	-0.000214941	6.35E-07
9.999207497	-2339.790771	-0.000215111	5.03E-07
9.999304295	-2330.305298	-0.000215223	5.73E-07
9.999780178	-2320.352173	-0.000215322	5.35E-07
10.00026226	-2310.299561	-0.000215474	5.54E-07
10.00030518	-2300.275513	-0.000214985	5.63E-07
10.00020695	-2290.258301	-0.00021503	5.65E-07
10.00003624	-2280.304199	-0.000215494	5.43E-07
9.999852657	-2270.340698	-0.000215385	5.18E-07
9.999806881	-2259.703491	-0.000215068	5.60E-07
9.999841213	-2250.221436	-0.000215408	5.58E-07
9.999755383	-2239.819702	-0.000214756	6.00E-07
9.999656677	-2230.279053	-0.00021508	4.83E-07
